year,modelId,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,horsepower_engine,torque_engine,highway_mpg,city_mpg,make,condition,bodyStyle,configuration_engine,type_engine,name_transmission,drivenWheels,market_categories
2019,883.0,85634.0,14698,4.0,2.5,203.0,184.0,,,37,2,6,3,4,9,2,59
2022,883.0,35673.0,21449,4.0,2.5,203.0,184.0,39.0,28.0,37,2,6,3,4,9,2,59
2013,1030.0,79151.0,12149,6.0,3.5,302.0,273.0,30.0,20.0,26,2,6,0,4,7,3,55
2013,1030.0,103431.0,12499,8.0,4.7,402.0,443.0,27.0,17.0,26,2,1,0,4,7,3,45
2021,2367.0,48158.0,27499,0.0,,,,,,11,2,7,4,1,1,3,19
2020,1238.0,125598.0,12498,4.0,2.5,200.0,191.0,26.0,20.0,7,2,8,3,4,5,3,59
2022,1501.0,21476.0,27299,6.0,3.8,310.0,281.0,22.0,17.0,28,2,8,0,4,10,1,59
2014,1754.0,67381.0,31499,8.0,4.7,454.0,384.0,21.0,13.0,24,2,1,0,4,5,3,59
2022,883.0,29093.0,20599,4.0,2.5,203.0,184.0,39.0,28.0,37,2,6,3,4,9,2,59
2023,1550.0,15338.0,25499,4.0,2.5,187.0,186.0,30.0,24.0,25,2,7,3,4,5,0,0
2015,1919.0,59828.0,14999,4.0,1.8,134.0,142.0,40.0,43.0,21,2,3,3,5,11,2,54
2013,1335.0,60855.0,10499,4.0,2.0,240.0,260.0,34.0,23.0,3,2,6,3,4,9,3,30
2015,1018.0,39894.0,11999,4.0,1.8,201.0,229.0,31.0,22.0,26,2,1,3,4,7,3,30
2021,1415.0,31561.0,26799,6.0,3.6,293.0,260.0,25.0,18.0,18,2,7,0,4,9,1,59
2020,1236.0,61826.0,30997,8.0,6.2,455.0,455.0,24.0,16.0,7,2,1,0,4,6,3,20
2019,1412.0,61596.0,13599,4.0,2.4,180.0,175.0,32.0,23.0,18,2,7,3,4,6,2,0
2018,1320.0,89979.0,16699,4.0,2.0,248.0,258.0,34.0,24.0,3,2,6,3,4,9,3,55
2021,2173.0,60317.0,22899,6.0,3.6,276.0,266.0,23.0,17.0,38,2,7,0,4,9,2,2
2015,1497.0,41408.0,6999,0.0,,,,,,28,2,3,4,1,1,2,19
2022,898.0,11711.0,30839,4.0,2.5,208.0,,47.0,44.0,37,2,6,3,5,11,2,23
2014,1809.0,107000.0,5499,4.0,2.0,148.0,145.0,34.0,,27,2,6,3,4,13,2,59
2015,1043.0,93701.0,13299,4.0,2.0,240.0,250.0,30.0,21.0,20,2,7,3,4,10,0,31
2022,2180.0,7160.0,28699,4.0,2.0,280.0,306.0,31.0,23.0,1,2,6,3,4,9,0,55
2019,1886.0,51500.0,30499,8.0,4.6,301.0,329.0,18.0,15.0,21,2,7,0,4,5,1,30
