year,make,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,configuration_engine,horsepower_engine,torque_engine,type_engine,name_transmission,drivenWheels,market_categories,highway_mpg,city_mpg,segment
2022,Toyota,used,909.0,sedan,29360.0,17499,4.0,1.8,inline,139.0,126.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2022,Chrysler,used,1297.0,minivan,26350.0,24199,6.0,3.6,V,287.0,262.0,gas,9A,FWD,Performance,28.0,19.0,2
2018,Volkswagen,used,2173.0,suv,88524.0,16998,6.0,3.6,V,276.0,266.0,gas,8A,FWD,Crossover,25.0,18.0,2
2022,Dodge,used,1472.0,sedan,26484.0,20749,6.0,3.6,V,292.0,260.0,gas,8A,RWD,Performance,30.0,19.0,2
2019,Dodge,used,1440.0,coupe,44186.0,25199,8.0,5.7,V,375.0,410.0,gas,6M,RWD,High-Performance,23.0,15.0,3
2021,Mazda,used,1569.0,suv,57605.0,21499,4.0,2.5,inline,227.0,310.0,gas,6A,AWD,Crossover,26.0,20.0,2
2019,Land Rover,used,1047.0,suv,48894.0,32989,6.0,3.0,V,254.0,443.0,diesel,8A,AWD,"Luxury,Diesel,Crossover",26.0,21.0,3
2018,Porsche,used,1881.0,suv,66896.0,27499,4.0,2.0,inline,252.0,273.0,gas,7A,AWD,"Luxury,Crossover",25.0,20.0,3
2017,Porsche,used,1881.0,suv,63566.0,24999,6.0,3.0,V,340.0,339.0,gas,7A,AWD,"Luxury,Crossover,Performance",23.0,17.0,2
2015,Honda,used,858.0,crossover,99838.0,13995,6.0,3.5,V,278.0,252.0,gas,6A,AWD,"Crossover,Hatchback",28.0,19.0,2
2019,Lincoln,used,2024.0,suv,14624.0,22995,4.0,2.0,inline,245.0,275.0,gas,6A,FWD,"Luxury,Crossover",27.0,20.0,2
2022,Hyundai,used,2224.0,suv,38814.0,18499,4.0,1.6,inline,195.0,195.0,gas,7A,FWD,"Crossover,Performance",35.0,29.0,2
2022,Dodge,used,1472.0,sedan,22911.0,24198,6.0,3.6,V,292.0,260.0,gas,8A,RWD,Performance,30.0,19.0,2
2020,Dodge,used,1472.0,sedan,70300.0,17999,6.0,3.6,V,292.0,260.0,gas,8A,RWD,Performance,30.0,19.0,2
2021,Kia,used,2369.0,sedan,119481.0,14199,4.0,1.6,inline,180.0,195.0,gas,8A,FWD,,38.0,29.0,2
2017,Hyundai,used,1069.0,coupe,67297.0,11995,4.0,1.6,inline,132.0,120.0,gas,,FWD,Hatchback,,,1
2020,Ram,used,2258.0,truck,64217.0,21199,8.0,5.7,V,395.0,410.0,gas,8A,RWD,,22.0,15.0,2
2019,Ford,used,981.0,truck,121093.0,34599,8.0,,V,,,,6A,AWD,,,,3
2022,Toyota,used,883.0,sedan,19249.0,21995,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,39.0,28.0,2
2018,Ford,used,957.0,truck,84958.0,22399,,,V,,,gas,,RWD,Diesel,,,2
2023,Kia,used,1723.0,sedan,7090.0,16990,4.0,2.0,inline,147.0,132.0,gas,Continuously Variable,FWD,,,,2
2021,Volkswagen,used,1657.0,suv,59472.0,18499,4.0,2.0,inline,184.0,221.0,gas,8A,FWD,Crossover,29.0,23.0,2
2019,Ford,used,969.0,coupe,96440.0,16499,4.0,2.3,inline,310.0,350.0,gas,6M,RWD,Performance,31.0,21.0,2
2019,Chevrolet,used,1252.0,suv,65620.0,16499,4.0,1.5,inline,170.0,203.0,gas,6A,FWD,Crossover,32.0,26.0,2
2023,Kia,used,1723.0,sedan,18985.0,16899,4.0,2.0,inline,147.0,132.0,gas,Continuously Variable,FWD,,,,2
2020,Alfa Romeo,used,2212.0,crossover,36112.0,24799,4.0,2.0,inline,280.0,306.0,gas,8A,AWD,"Luxury,Crossover,Performance",28.0,22.0,2
2021,Ram,used,2258.0,truck,57880.0,21499,8.0,5.7,V,395.0,410.0,gas,8A,RWD,,22.0,15.0,2
2019,Nissan,used,2175.0,crossover,38564.0,16649,4.0,2.0,inline,141.0,147.0,gas,Continuously Variable,FWD,Crossover,32.0,25.0,2
2017,Lexus,used,2109.0,sedan,60100.0,19889,4.0,2.0,inline,241.0,258.0,gas,8A,RWD,Luxury,32.0,22.0,2
2023,Hyundai,used,1064.0,suv,13925.0,22399,4.0,2.5,inline,187.0,178.0,gas,8A,FWD,Crossover,32.0,25.0,2
2017,Mercedes-Benz,used,1018.0,coupe,31157.0,23599,4.0,2.0,inline,241.0,273.0,gas,7A,RWD,Luxury,30.0,23.0,2
2018,Porsche,used,1881.0,suv,49314.0,28399,4.0,2.0,inline,252.0,273.0,gas,7A,AWD,"Luxury,Crossover",25.0,20.0,3
2020,Alfa Romeo,used,2212.0,crossover,44917.0,23999,4.0,2.0,inline,280.0,306.0,gas,8A,AWD,"Luxury,Crossover,Performance",28.0,22.0,2
