vin,year,make,model,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted
1FT7X2BAXPEC10422,2023,Ford,F-250 Super Duty,new,999.0,truck,125.0,52305
1FT8W2BM5REC65364,2024,Ford,F-250 Super Duty,new,999.0,truck,4.0,85900
1FT8W3AA6REC45461,2024,Ford,F-350 Super Duty,new,981.0,truck,6.0,53375
1FM5K8HC5PGB21911,2023,Ford,Explorer,new,961.0,suv,,58387
1FMCU9J94LUB27281,2020,Ford,Escape,used,975.0,suv,53170.0,22000
1FMCU9JA9RUA10783,2024,Ford,Escape,new,975.0,suv,,40670
1FMEE5DP2PLC14651,2023,Ford,Bronco,new,938.0,suv,,64630
1FMSK8JH6PGA64692,2023,Ford,Explorer,new,961.0,suv,,50837
1FTBF2AA5REC96675,2024,Ford,F-250 Super Duty,new,999.0,truck,,48555
1FTBF2AAXREC98082,2024,Ford,F-250 Super Duty,new,999.0,truck,,48555
1FTFW1RG7KFA12077,2019,Ford,F-150,used,957.0,truck,87599.0,47993
1FTRF3AA9REC97090,2024,Ford,F-350 Super Duty,new,981.0,truck,,49600
2FMPK4J94RBA32079,2024,Ford,Edge,new,955.0,suv,,40554
5FNYF6H30KB033331,2019,Honda,Pilot,used,865.0,suv,55356.0,27807
5NTJDDAF8NH012766,2022,Hyundai,Santa Cruz,used,2468.0,truck,23127.0,25418
5NMS33AD8LH233986,2020,Hyundai,Santa Fe,used,1056.0,suv,67600.0,17860
KM8SN4HF0FU113521,2015,Hyundai,Santa Fe,used,1056.0,suv,107926.0,11718
1FMSK7FH5NGC31589,2022,Ford,Explorer,new,961.0,suv,2017.0,42270
1FT8X3AA3REC49268,2024,Ford,F-350 Super Duty,new,981.0,truck,25.0,51915
1FTVW1EV9PWG28869,2023,Ford,F-150 Lightning,new,2441.0,truck,40.0,74290
2FMPK4G93RBA73696,2024,Ford,Edge,new,955.0,suv,2.0,39860
3FMCR9B67PRE15699,2023,Ford,Bronco Sport,new,2371.0,suv,32.0,29805
3FMCR9B67PRE21258,2023,Ford,Bronco Sport,new,2371.0,suv,9.0,31685
3FMCR9B68PRD49275,2023,Ford,Bronco Sport,new,2371.0,suv,8.0,31685
3FMCR9C62PRE22297,2023,Ford,Bronco Sport,new,2371.0,suv,8.0,36395
3FMCR9D96PRE32713,2023,Ford,Bronco Sport,new,2371.0,suv,8.0,37780
3FMTK4SEXPMA53539,2023,Ford,Mustang Mach-E,new,2367.0,suv,13.0,65295
1FDBF2A65NEF07147,2022,Ford,F-250 Super Duty,new,999.0,truck,25.0,38830
1FMCU0MN3PUA07529,2023,Ford,Escape,new,975.0,suv,25.0,31335
1FMJK2AG3PEA61874,2023,Ford,Expedition MAX,new,2252.0,suv,21.0,87770
1FT8W3AA5REC49999,2024,Ford,F-350 Super Duty,new,981.0,truck,4.0,52910
3FMTK1R46PMA91426,2023,Ford,Mustang Mach-E,new,2367.0,suv,5.0,43035
1FD0W5GN7PEC62054,2023,Ford,F-550 Super Duty Chassis,new,,truck,4.0,55715
1FT7W2AT8PEC35678,2023,Ford,F-250 Super Duty,new,999.0,truck,96.0,60660
1FT8W2BT1NEF64822,2022,Ford,F-250 Super Duty,new,999.0,truck,86.0,63435
1FT8W2BT8NEF64803,2022,Ford,F-250 Super Duty,new,999.0,truck,59.0,63435
1FT8W3AA2REC44162,2024,Ford,F-350 Super Duty,new,981.0,truck,5.0,53375
1FTBF2B62NED78125,2022,Ford,F-250 Super Duty,new,999.0,truck,5.0,41485
1FTBF2B68NED78131,2022,Ford,F-250 Super Duty,new,999.0,truck,5.0,41485
1FTVW1EV7PWG10418,2023,Ford,F-150 Lightning,new,2441.0,truck,129.0,82784
1FMEE5BP5PLC01993,2023,Ford,Bronco,new,938.0,suv,25.0,52260
1FT8W2BT4NEF64815,2022,Ford,F-250 Super Duty,new,999.0,truck,3.0,63435
1FT8W2BT4NEF64832,2022,Ford,F-250 Super Duty,new,999.0,truck,109.0,63435
5NTJCDAF4RH097663,2024,Hyundai,Santa Cruz,new,2468.0,truck,9.0,37086
KM8J33A42MU402739,2021,Hyundai,Tucson,used,1064.0,suv,41256.0,18630
KM8R44HE8LU146187,2020,Hyundai,Palisade,used,2304.0,suv,34717.0,29388
KMHLN4AJ7PU091683,2023,Hyundai,Elantra Hybrid,new,2438.0,sedan,7.0,30351
KNDJ63AU5L7010878,2020,Kia,Soul,used,1737.0,crossover,74327.0,14183
1N4AA6FV4LC383330,2020,Nissan,Maxima,used,1505.0,sedan,50840.0,24335
2G61M5S33E9199008,2014,Cadillac,XTS,used,1531.0,sedan,46804.0,17084
5NMJB3DE1RH371543,2024,Hyundai,Tucson,new,1064.0,suv,13.0,30063
5NMJB3DE6RH374552,2024,Hyundai,Tucson,new,1064.0,suv,,29494
5NPEH4J22MH077113,2021,Hyundai,Sonata,used,1066.0,sedan,37041.0,23894
5NTJA4DE8RH105871,2024,Hyundai,Santa Cruz,new,2468.0,truck,,28678
5NTJBDDE5RH105100,2024,Hyundai,Santa Cruz,new,2468.0,truck,9.0,30976
5NTJC4DE5RH105465,2024,Hyundai,Santa Cruz,new,2468.0,truck,4.0,34669
5NTJDDAF6RH081512,2024,Hyundai,Santa Cruz,new,2468.0,truck,3409.0,38109
5NTJDDAF8RH094410,2024,Hyundai,Santa Cruz,new,2468.0,truck,8.0,40969
5NMJC3AE5NH078269,2022,Hyundai,Tucson,used,1064.0,suv,53051.0,21773
5NPD84LF4HH143792,2017,Hyundai,Elantra,used,1058.0,sedan,70825.0,12445
1V2FR2CA5RC543385,2024,Volkswagen,Atlas,new,2173.0,suv,8.0,51772
1V2FR2CAXRC540711,2024,Volkswagen,Atlas,new,2173.0,suv,7.0,52151
3VVCB7AX9RM049592,2024,Volkswagen,Tiguan,new,1657.0,suv,5.0,35462
JTJHY7AX5J4261972,2018,Lexus,LX 570,used,1884.0,suv,57415.0,54368
1FMJU1JT5NEA52284,2022,Ford,Expedition,used,944.0,suv,11669.0,48143
2T3F1RFV2PW373366,2023,Toyota,RAV4,certified pre-owned,880.0,suv,18909.0,26993
2T3F1RFVXPW370067,2023,Toyota,RAV4,certified pre-owned,880.0,suv,20523.0,26735
4T1C11AK1RU228137,2024,Toyota,Camry,new,883.0,sedan,5.0,27488
