modelId,make_model
2149.0,Toyota 86
1878.0,Porsche Cayman
2635.0,Chevrolet Blazer EV
996.0,Ford Expedition EL
2516.0,Cadillac LYRIQ
1792.0,Scion tC
1005.0,Ford Flex
2093.0,Kia Soul EV
2191.0,Lexus LS 500
985.0,Ford F-450 Super Duty
2103.0,Mercedes-Benz Metris
1618.0,Infiniti Q50 Hybrid
900.0,Toyota Yaris
1100.0,Bentley Continental GT Speed
2556.0,Lexus RX 500h
2113.0,Lexus RC 300
1884.0,Lexus LX 570
957.0,Ford F-150
2224.0,Hyundai Kona
857.0,Honda Odyssey
2128.0,Mercedes-Benz GLS
1886.0,Lexus GX 460
2151.0,Genesis G90
880.0,Toyota RAV4
1058.0,Hyundai Elantra
2369.0,Kia K5
1645.0,Volkswagen Passat
1919.0,Lexus CT 200h
1333.0,BMW 2 Series
2067.0,MINI Clubman
1069.0,Hyundai Veloster
981.0,Ford F-350 Super Duty
2175.0,Nissan Rogue Sport
1408.0,Jeep Cherokee
2052.0,Audi Q3
867.0,Honda CR-V
1525.0,Cadillac CTS-V
1269.0,Chevrolet Impala Limited
2102.0,Toyota Mirai
2162.0,Hyundai Ioniq Hybrid
1198.0,Chevrolet Spark
2251.0,Jaguar I-PACE
1720.0,Kia Optima
1052.0,Hyundai Genesis
2255.0,Cadillac XT4
2468.0,Hyundai Santa Cruz
2410.0,Cadillac CT5-V
1341.0,Acura RDX
2088.0,Lexus RC F
1573.0,Mazda Mazda6
1247.0,Chevrolet Sonic
2235.0,Volvo XC40
1241.0,Chevrolet Impala
2309.0,Lincoln Corsair
2277.0,Ford Explorer Hybrid
1200.0,Chevrolet Volt
2316.0,Kia Rio 5-Door
2559.0,Mazda CX-90
2233.0,Subaru Ascent
1152.0,GMC Sierra 3500HD
2156.0,Chevrolet Bolt EV
2326.0,Hyundai Venue
1505.0,Nissan Maxima
2066.0,Volkswagen Golf GTI
2466.0,Lexus NX 350h
1057.0,Hyundai Genesis Coupe
1914.0,Lexus IS 250
1726.0,Kia Rio
2514.0,Toyota bZ4X
2138.0,Mazda MX-5 Miata RF
2187.0,Land Rover Range Rover Velar
1080.0,Subaru Legacy
2579.0,Nissan Z
861.0,Honda Passport
2571.0,Wagoneer Wagoneer L
2337.0,Cadillac CT4
2047.0,BMW M4
2477.0,Audi e-tron Sportback
2202.0,Jaguar E-PACE
2339.0,MINI Hardtop 4 Door
2076.0,Ram ProMaster City
1319.0,BMW M5
2122.0,Jaguar F-PACE
2072.0,MINI Convertible
1908.0,Lexus RX 400h
1592.0,Infiniti EX35
2064.0,Volkswagen Golf SportWagen
1845.0,MINI Cooper
2276.0,Hyundai Kona Electric
