make,model,modelId,make_model
Hyundai,Genesis Coupe,1057.0,Hyundai Genesis Coupe
Hyundai,Santa Fe Sport,1049.0,Hyundai Santa Fe Sport
Mazda,MX-5 Miata RF,2138.0,Mazda MX-5 Miata RF
Kia,Seltos,2343.0,Kia Seltos
Porsche,911,1880.0,Porsche 911
Cadillac,CT6,2121.0,Cadillac CT6
Buick,LaCrosse,1922.0,Buick LaCrosse
Kia,Niro Plug-In Hybrid,2226.0,Kia Niro Plug-In Hybrid
Mercedes-Benz,EQB,2524.0,Mercedes-Benz EQB
Acura,ILX,1342.0,Acura ILX
Ford,Expedition EL,996.0,Ford Expedition EL
Cadillac,CT4,2337.0,Cadillac CT4
Acura,RLX,1347.0,Acura RLX
Lexus,NX 200t,2086.0,Lexus NX 200t
Lexus,SC 430,1887.0,Lexus SC 430
Audi,e-tron Sportback,2477.0,Audi e-tron Sportback
Dodge,Avenger,1436.0,Dodge Avenger
BMW,X6 M,1337.0,BMW X6 M
Mercedes-Benz,Metris,2103.0,Mercedes-Benz Metris
Ford,Taurus,1000.0,Ford Taurus
Cadillac,CTS,1530.0,Cadillac CTS
Mercedes-Benz,GL-Class,1033.0,Mercedes-Benz GL-Class
Audi,S8,1360.0,Audi S8
Honda,S2000,871.0,Honda S2000
FIAT,500L,1074.0,FIAT 500L
Mercedes-Benz,GLB,2356.0,Mercedes-Benz GLB
BMW,X3,1323.0,BMW X3
BMW,X2,2201.0,BMW X2
Tesla,Model S,2006.0,Tesla Model S
Lincoln,MKC,2024.0,Lincoln MKC
Ford,F-150,957.0,Ford F-150
Kia,Forte,1723.0,Kia Forte
Ford,Explorer,961.0,Ford Explorer
Mercedes-Benz,GLE,2099.0,Mercedes-Benz GLE
Land Rover,Range Rover,1039.0,Land Rover Range Rover
Lexus,GX 460,1886.0,Lexus GX 460
Audi,A6,1386.0,Audi A6
Honda,Civic,862.0,Honda Civic
Audi,A4,1373.0,Audi A4
Lexus,ES 350,1889.0,Lexus ES 350
BMW,4 Series,1320.0,BMW 4 Series
Chevrolet,Trailblazer,1245.0,Chevrolet Trailblazer
Mitsubishi,Outlander,1808.0,Mitsubishi Outlander
Mazda,CX-9,1569.0,Mazda CX-9
Hyundai,Veloster,1069.0,Hyundai Veloster
Ford,F-350 Super Duty,981.0,Ford F-350 Super Duty
Nissan,Rogue Sport,2175.0,Nissan Rogue Sport
BMW,6 Series,1316.0,BMW 6 Series
Jaguar,F-TYPE,1399.0,Jaguar F-TYPE
Audi,SQ5,1365.0,Audi SQ5
Cadillac,Escalade ESV,1539.0,Cadillac Escalade ESV
Toyota,Mirai,2102.0,Toyota Mirai
Hyundai,Tucson Hybrid,2409.0,Hyundai Tucson Hybrid
Hyundai,IONIQ 6,2536.0,Hyundai IONIQ 6
Ford,Ranger,980.0,Ford Ranger
Volkswagen,ID.4,2404.0,Volkswagen ID.4
